Product ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Initial_Quantity
10212,7/30/2024,Home Appliances,Keurig K-Elite Coffee Maker,87,169.99,14789.13,100
10213,7/31/2024,Clothing,Uniqlo Airism Seamless Boxer Briefs,34,9.9,336.6,100
10214,8/1/2024,Books,The Girl with the Dragon Tattoo by Stieg Larsson,15,10.99,164.85,100
10215,8/2/2024,Beauty Products,L'Occitane Shea Butter Hand Cream,17,29,493,100
10216,8/3/2024,Sports,YETI Tundra 65 Cooler,99,349.99,34649.01,100
10217,8/4/2024,Electronics,Apple MacBook Pro 16-inch,73,2399,175127,100
10218,8/5/2024,Home Appliances,iRobot Braava Jet M6,21,449.99,9449.79,100
10219,8/6/2024,Clothing,Champion Reverse Weave Hoodie,100,49.99,4999,100
10220,8/7/2024,Books,The Nightingale by Kristin Hannah,26,12.99,337.74,100
10221,8/8/2024,Beauty Products,Tarte Shape Tape Concealer,27,27,729,100
10222,8/9/2024,Sports,Garmin Forerunner 945,71,599.99,42599.29,100
10223,8/10/2024,Electronics,Amazon Echo Dot (4th Gen),86,49.99,4299.14,100
10224,8/11/2024,Home Appliances,Philips Sonicare DiamondClean Toothbrush,62,229.99,14259.38,100
10225,8/12/2024,Clothing,Old Navy Mid-Rise Rockstar Super Skinny Jeans,70,44.99,3149.3,100
10226,8/13/2024,Books,The Silent Patient by Alex Michaelides,88,26.99,2375.12,100
10227,8/14/2024,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,56,6.7,375.2,100
10228,8/15/2024,Sports,Fitbit Luxe,36,149.95,5398.2,100
10229,8/16/2024,Electronics,Google Nest Wifi Router,36,169,6084,100
10230,8/17/2024,Home Appliances,Anova Precision Oven,73,599,43727,100
10231,8/18/2024,Clothing,Adidas Originals Trefoil Hoodie,71,64.99,4614.29,100
10232,8/19/2024,Books,Dune by Frank Herbert,1,9.99,9.99,100
10233,8/20/2024,Beauty Products,Fresh Sugar Lip Treatment,0,24,0,100
10234,8/21/2024,Sports,Hydro Flask Standard Mouth Water Bottle,77,32.95,2537.15,100
10235,8/22/2024,Electronics,Bose QuietComfort 35 II Wireless Headphones,18,299,5382,100
10236,8/23/2024,Home Appliances,Nespresso Vertuo Next Coffee and Espresso Maker,65,159.99,10399.35,100
10237,8/24/2024,Clothing,Nike Air Force 1 Sneakers,83,90,7470,100
10238,8/25/2024,Books,The Handmaid's Tale by Margaret Atwood,43,10.99,472.57,100
10239,8/26/2024,Beauty Products,Sunday Riley Luna Sleeping Night Oil,97,55,5335,100
10240,8/27/2024,Sports,Yeti Rambler 20 oz Tumbler,78,29.99,2339.22,100
